"#";"RefDes";"Name";"Value";"Quantity";"Manufacturer"
"1";"C2, C3, C5, C10, C11, C12, C13, C14, C15";"C-EUC0805 (C-EU)";"10n";"9";""
"2";"C7, C8, C9";"CPOL-USE2-5 (CPOL-US)";"1u";"3";""
"3";"D1, D2";"STPS1L60ZFSOD-123 (STPS1L60ZF)";"";"2";""
"4";"D3";"1N4148SOD-123 (1N4148)";"1N4148";"1";""
"5";"IC2, IC4";"TL074D (TL074)";"";"2";""
"6";"IC3";"LM393D (LM393)";"";"1";""
"7";"J1";"CONN_04X2";"";"1";""
"8";"J6";"CONN_08X2";"";"1";""
"9";"LOGO1";"IM-LOGO-4MM-1M";"";"1";""
"10";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R20, R23, R24, R26, R27, R28, R30";"R-US_R0805 (R-US_)";"100k";"24";""
"11";"SV1";"MA05-2-BH";"";"1";""
"12";"T1";"-NPN-MMBT2369LT1SOT23-BEC (*-NPN-)";"";"1";""
"13";"U1";"AS3310-2AS3310-SOIC-16 (AS3310-2)";"AS3310";"1";""
"14";"U3";"MC79L05ACLP";"79L05";"1";""
"15";"U$1, U$2";"MOUNT-HOLE-EURORACK3.4-HOLE (MOUNT-HOLE-EURORACK)";"";"2";""
"";"";"";"";"51";""
